city,date,temperature_2m,wind_speed_10m,precipitation
New York,2026-05-29 23:00:00+00:00,24.313501,18.581022,0.0
New York,2026-05-30 00:00:00+00:00,23.563501,13.513193,0.0
New York,2026-05-30 01:00:00+00:00,22.8635,13.684735,0.0
New York,2026-05-30 02:00:00+00:00,22.6635,19.85556,0.0
New York,2026-05-30 03:00:00+00:00,21.713501,15.580141,0.0
New York,2026-05-30 04:00:00+00:00,21.0135,17.477621,0.0
New York,2026-05-30 05:00:00+00:00,20.3635,12.819235,0.0
New York,2026-05-30 06:00:00+00:00,19.563501,12.387348,0.0
New York,2026-05-30 07:00:00+00:00,19.5135,23.950148,0.0
New York,2026-05-30 08:00:00+00:00,15.9635,26.161375,0.0
New York,2026-05-30 09:00:00+00:00,14.013499,29.301876,0.0
New York,2026-05-30 10:00:00+00:00,12.7135,27.238943,0.0
New York,2026-05-30 11:00:00+00:00,12.6635,27.841293,0.0
New York,2026-05-30 12:00:00+00:00,13.4135,32.44996,0.0
New York,2026-05-30 13:00:00+00:00,14.4635,29.784426,0.0
New York,2026-05-30 14:00:00+00:00,15.4635,28.082308,0.0
New York,2026-05-30 15:00:00+00:00,15.6135,29.175552,0.0
New York,2026-05-30 16:00:00+00:00,15.313499,30.735231,0.0
New York,2026-05-30 17:00:00+00:00,15.563499,31.003918,0.0
New York,2026-05-30 18:00:00+00:00,15.3635,32.305862,0.0
New York,2026-05-30 19:00:00+00:00,15.313499,29.957968,0.0
New York,2026-05-30 20:00:00+00:00,15.1635,25.20257,0.0
New York,2026-05-30 21:00:00+00:00,15.313499,23.14103,0.0
New York,2026-05-30 22:00:00+00:00,16.313501,21.407139,0.0
New York,2026-05-30 23:00:00+00:00,15.913499,17.10284,0.0
New York,2026-05-31 00:00:00+00:00,14.1635,10.587918,0.0
New York,2026-05-31 01:00:00+00:00,12.8635,6.151683,0.0
New York,2026-05-31 02:00:00+00:00,11.3635,6.5693827,0.0
New York,2026-05-31 03:00:00+00:00,10.6135,4.1046314,0.0
New York,2026-05-31 04:00:00+00:00,10.2135,1.8,0.0
New York,2026-05-31 05:00:00+00:00,10.063499,6.489992,0.0
New York,2026-05-31 06:00:00+00:00,9.563499,6.2145634,0.0
New York,2026-05-31 07:00:00+00:00,9.063499,3.9763298,0.0
New York,2026-05-31 08:00:00+00:00,8.4635,5.771239,0.0
New York,2026-05-31 09:00:00+00:00,8.013499,6.439876,0.0
New York,2026-05-31 10:00:00+00:00,8.1635,4.68,0.0
New York,2026-05-31 11:00:00+00:00,10.6635,5.1919937,0.0
New York,2026-05-31 12:00:00+00:00,13.313499,4.896529,0.0
New York,2026-05-31 13:00:00+00:00,15.763499,5.0911684,0.0
New York,2026-05-31 14:00:00+00:00,18.1635,7.8625183,0.0
New York,2026-05-31 15:00:00+00:00,20.6635,6.5693827,0.0
New York,2026-05-31 16:00:00+00:00,22.313501,12.074766,0.0
New York,2026-05-31 17:00:00+00:00,23.713501,9.360001,0.0
New York,2026-05-31 18:00:00+00:00,23.7635,17.64,0.0
New York,2026-05-31 19:00:00+00:00,24.6635,20.316889,0.0
New York,2026-05-31 20:00:00+00:00,24.313501,22.19773,0.0
New York,2026-05-31 21:00:00+00:00,24.213501,19.386591,0.0
New York,2026-05-31 22:00:00+00:00,24.6635,23.469128,0.0
New York,2026-05-31 23:00:00+00:00,24.5135,17.698677,0.0
New York,2026-06-01 00:00:00+00:00,23.4135,9.957108,0.0
New York,2026-06-01 01:00:00+00:00,21.1635,8.759178,0.0
New York,2026-06-01 02:00:00+00:00,21.0135,6.3690495,0.0
New York,2026-06-01 03:00:00+00:00,19.9135,5.0142193,0.0
New York,2026-06-01 04:00:00+00:00,19.3635,11.298495,0.0
New York,2026-06-01 05:00:00+00:00,17.463501,10.883676,0.0
New York,2026-06-01 06:00:00+00:00,16.5135,14.565548,0.0
New York,2026-06-01 07:00:00+00:00,15.6635,6.9153743,0.0
New York,2026-06-01 08:00:00+00:00,14.9635,7.653705,0.0
New York,2026-06-01 09:00:00+00:00,14.513499,2.9024127,0.0
New York,2026-06-01 10:00:00+00:00,14.8635,5.8603754,0.0
New York,2026-06-01 11:00:00+00:00,15.763499,1.1384199,0.0
New York,2026-06-01 12:00:00+00:00,17.313501,4.0249224,0.0
New York,2026-06-01 13:00:00+00:00,17.9135,6.1305785,0.0
New York,2026-06-01 14:00:00+00:00,20.0135,12.371645,0.0
New York,2026-06-01 15:00:00+00:00,20.563501,17.462782,0.0
New York,2026-06-01 16:00:00+00:00,21.313501,16.641972,0.0
